,Description,Vente,Loc,Date_iso,Date_str,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error,url
81,PAIRE DE LAMPES D'EPOQUE NAPOLEON III; SECONDE MOITIE DU XIXe SIECLE,Collection du Prince et de la Princesse Sadruddin Aga Khan. Une passion pour les arts mise en scène par Henri Samuel. Session online,Online,2020-10-06,06 October 2020,272,['https://www.christies.com/img/LotImages/2020/PAR/2020_PAR_19744_0272_000(paire_de_lampes_depoque_napoleon_iii_seconde_moitie_du_xixe_siecle023849).jpg'],nd,https://onlineonly.christies.com/s/collection-du-prince-et-de-la-princesse-sadruddin-aga-khan-une-passion/paire-de-lampes-depoque-napoleon-iii-272/100681?ldp_breadcrumb=back,Christies,Christies_2020-10-06_272,['Christies_2020-10-06_272_01.jpg'],,
82,"VASE DELHI DE LA MANUFACTURE NATIONALE DE SEVRES; DECOR DE LASCAUX, TOURNAGE D'ACHILLE DEBORD, 1874",Collection du Prince et de la Princesse Sadruddin Aga Khan. Une passion pour les arts mise en scène par Henri Samuel. Session online,Online,2020-10-06,06 October 2020,300,['https://www.christies.com/img/LotImages/2020/PAR/2020_PAR_19744_0300_000(vase_delhi_de_la_manufacture_nationale_de_sevres_decor_de_lascaux_tour024026).jpg'],nd,https://onlineonly.christies.com/s/collection-du-prince-et-de-la-princesse-sadruddin-aga-khan-une-passion/vase-delhi-de-la-manufacture-nationale-de-sevres-300/100710?ldp_breadcrumb=back,Christies,Christies_2020-10-06_300,['Christies_2020-10-06_300_01.jpg'],,
83,"AN IMPRESSIVE MAMLUK-STYLE BASIN ON ITS STAND; COLLINOT & CIE, BOULOGNE, FRANCE, CIRCA 1860-80",Art of the Islamic and Indian Worlds,London,2016-10-20,20 October 2016,133,['https://www.christies.com/img/LotImages/2016/CKS/2016_CKS_12241_0133_000(an_impressive_mamluk-style_basin_on_its_stand_collinot_cie_boulogne_fr064615).jpg'],Collinot,https://www.christies.com/en/lot/lot-6024812,Christies,Christies_2016-10-20_133,['Christies_2016-10-20_133_01.jpg'],,
84,"A PAIR OF LARGE IZNIK STYLE CHARGERS; MARKED BOCH KERAMIS FRERES, BELGIUM, CIRCA 1900",Arts & Textiles of the Islamic & Indian Worlds,London (South Kensington),2016-10-21,21 October 2016,219,['https://www.christies.com/img/LotImages/2016/CSK/2016_CSK_12283_0219_000(a_pair_of_large_iznik_style_chargers_marked_boch_keramis_freres_belgiu022928).jpg'],BochKeramis,https://www.christies.com/en/lot/lot-6026003,Christies,Christies_2016-10-21_219,['Christies_2016-10-21_219_01.jpg'],,
85,"AN IMPRESSIVE IZNIK-STYLE POTTERY DISH; BOCH FRERES KERAMIS, BELGIUM, LATE 19TH CENTURY",Arts & Textiles of the Islamic & Indian Worlds,London (South Kensington),2016-04-22,22 April 2016,423,['https://www.christies.com/img/LotImages/2016/CSK/2016_CSK_12282_0423_000(an_impressive_iznik-style_pottery_dish_boch_freres_keramis_belgium_lat092015).jpg'],BochKeramis,https://www.christies.com/en/lot/lot-5986217,Christies,Christies_2016-04-22_423,['Christies_2016-04-22_423_01.jpg'],,
86,"AN IZNIK-STYLE POTTERY JUG; BOCH FRERES KERAMIS, BELGIUM, EARLY 20TH CENTURY",Arts & Textiles of the Islamic & Indian Worlds,London (South Kensington),2016-04-22,22 April 2016,418,['https://www.christies.com/img/LotImages/2016/CSK/2016_CSK_12282_0418_000(an_iznik-style_pottery_jug_boch_freres_keramis_belgium_early_20th_cent091822).jpg'],BochKeramis,https://www.christies.com/en/lot/lot-5986212,Christies,Christies_2016-04-22_418,['Christies_2016-04-22_418_01.jpg'],,
87,"A LARGE IZNIK-STYLE POTTERY CHARGER AND TALL VASE; BOCH FRERES KERAMIS, BELGIUM, 20TH CENTURY",Arts & Textiles of the Islamic & Indian Worlds,London (South Kensington),2016-04-22,22 April 2016,433,['https://www.christies.com/img/LotImages/2016/CSK/2016_CSK_12282_0433_000(a_large_iznik-style_pottery_charger_and_tall_vase_boch_freres_keramis092339).jpg'],BochKeramis,https://www.christies.com/en/lot/lot-5986227,Christies,Christies_2016-04-22_433,['Christies_2016-04-22_433_01.jpg'],,
88,"AN IZNIK-STYLE THREE PIECE MANTEL GARNITURE; BOCH FRERES KERAMIS, BELGIUM, LATE 19TH/EARLY 20TH CENTURY",Arts & Textiles of the Islamic & Indian Worlds,London (South Kensington),2016-04-22,22 April 2016,424,['https://www.christies.com/img/LotImages/2016/CSK/2016_CSK_12282_0424_000(an_iznik-style_three_piece_mantel_garniture_boch_freres_keramis_belgiu092040).jpg'],BochKeramis,https://www.christies.com/en/lot/lot-5986218,Christies,Christies_2016-04-22_424,['Christies_2016-04-22_424_01.jpg'],,
89,"A LARGE IZNIK-STYLE POTTERY DISH; BOCH FRERES KERAMIS (B.F.K.), BELGIUM, EARLY 20TH CENTURY",Art & Textiles of The Islamic & Indian Worlds Including Works From The Collection of The Late Simon Digby,London (South Kensington),2011-10-07,07 October 2011,588,['https://www.christies.com/img/LotImages/2011/CSK/2011_CSK_02581_0588_000(a_large_iznik-style_pottery_dish_boch_freres_keramis_belgium_early_20t053026).jpg'],BochKeramis,https://www.christies.com/en/lot/lot-5480005,Christies,Christies_2011-10-07_588,['Christies_2011-10-07_588_01.jpg'],,
90,"A LARGE IZNIK STYLE POTTERY VASE; BOCH FRERES KERAMIS, BELGIUM, LATE 19TH/EARLY 20TH CENTURY",Arts & Textiles of the Islamic & Indian Worlds,London (South Kensington),2016-04-22,22 April 2016,434,['https://www.christies.com/img/LotImages/2016/CSK/2016_CSK_12282_0434_000(a_large_iznik_style_pottery_vase_boch_freres_keramis_belgium_late_19th092356).jpg'],BochKeramis,https://www.christies.com/en/lot/lot-5986228,Christies,Christies_2016-04-22_434,['Christies_2016-04-22_434_01.jpg'],,
91,"A CANTAGALLI IZNIK-STYLE FOOTED BOWL; ITALY, 19TH CENTURY",Art of the Islamic and Indian Worlds,London,2012-04-26,26 April 2012,370,['https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05169_0370_000(a_cantagalli_iznik-style_footed_bowl_italy_19th_century085503).jpg'],Cantagalli,https://www.christies.com/en/lot/lot-5551165,Christies,Christies_2012-04-26_370,['Christies_2012-04-26_370_01.jpg'],,
